,Timestamp,UC,SPOT,dailyInterestRate,Funding Rate
0,1609459200000,1.3246,1.3623,0.0005,0.00038254
1,1609462800000,1.2998,1.3202,,
2,1609466400000,1.2799,1.2951,,
3,1609470000000,1.2612,1.275,,
4,1609473600000,1.2424,1.259,,
5,1609477200000,1.2297,1.2411,,
6,1609480800000,1.2506,1.2264,,
7,1609484400000,1.2394,1.2481,,
8,1609488000000,1.2301,1.2343,,0.00016716
9,1609491600000,1.1736,1.227,,
10,1609495200000,1.1369,1.1721,,
11,1609498800000,1.1734,1.1338,,
12,1609502400000,1.1681,1.1703,,
13,1609506000000,1.1598,1.1666,,
14,1609509600000,1.1848,1.157,,
15,1609513200000,1.1715,1.1794,,
16,1609516800000,1.1629,1.1701,,0.00040749
17,1609520400000,1.1478,1.1597,,
18,1609524000000,1.1199,1.1439,,
19,1609527600000,1.1366,1.1185,,
20,1609531200000,1.1287,1.1353,,
21,1609534800000,1.1328,1.1259,,
22,1609538400000,1.1365,1.1275,,
23,1609542000000,1.1578,1.1331,,
24,1609545600000,1.1326,1.1521,0.0005,0.00021311
25,1609549200000,1.1506,1.1301,,
26,1609552800000,1.0875,1.1477,,
27,1609556400000,1.0987,1.0882,,
28,1609560000000,1.1103,1.0973,,
29,1609563600000,1.1076,1.1088,,
30,1609567200000,1.1074,1.1075,,
31,1609570800000,1.0993,1.105,,
32,1609574400000,1.0883,1.0951,,0.00029236
33,1609578000000,1.055,1.086,,
34,1609581600000,1.0592,1.0521,,
35,1609585200000,1.0706,1.0573,,
36,1609588800000,1.0858,1.0691,,
37,1609592400000,1.1106,1.0865,,
38,1609596000000,1.0874,1.1067,,
39,1609599600000,1.1133,1.0857,,
40,1609603200000,1.0943,1.1096,,0.00022004
41,1609606800000,1.0876,1.0901,,
42,1609610400000,1.0836,1.087,,
43,1609614000000,1.0744,1.082,,
44,1609617600000,1.0229,1.0713,,
45,1609621200000,1.0349,1.026,,
46,1609624800000,1.0436,1.0345,,
47,1609628400000,1.0267,1.0407,,
48,1609632000000,1.0317,1.0259,0.0005,0.0001
49,1609635600000,1.0443,1.0275,,
50,1609639200000,1.048,1.0409,,
51,1609642800000,1.0356,1.045,,
52,1609646400000,1.0465,1.0323,,
53,1609650000000,1.0327,1.0468,,
54,1609653600000,1.0369,1.03,,
55,1609657200000,0.9869,1.034,,
56,1609660800000,0.9852,0.9853,,0.00015955
57,1609664400000,0.9856,0.9835,,
58,1609668000000,0.9835,0.9829,,
59,1609671600000,1.0007,0.981,,
60,1609675200000,1.0484,0.9974,,
61,1609678800000,1.09,1.0418,,
62,1609682400000,1.1094,1.0855,,
63,1609686000000,1.1172,1.1062,,
64,1609689600000,1.0818,1.1143,,0.00142518
65,1609693200000,1.0978,1.0758,,
66,1609696800000,1.0852,1.0924,,
67,1609700400000,1.0916,1.0798,,
68,1609704000000,1.1114,1.0859,,
69,1609707600000,1.137,1.107,,
70,1609711200000,1.1377,1.1322,,
71,1609714800000,1.1129,1.1317,,
72,1609718400000,1.164,1.108,0.0005,0.00200629
73,1609722000000,1.2091,1.1562,,
74,1609725600000,1.2003,1.1978,,
75,1609729200000,1.2126,1.192,,
76,1609732800000,1.196,1.2068,,
77,1609736400000,1.1807,1.1926,,
78,1609740000000,1.17,1.1751,,
79,1609743600000,1.11,1.1627,,
80,1609747200000,1.0951,1.1123,,0.00245764
81,1609750800000,1.0415,1.0936,,
82,1609754400000,1.0312,1.04,,
83,1609758000000,1.053,1.0297,,
84,1609761600000,1.055,1.0517,,
85,1609765200000,1.032,1.0529,,
86,1609768800000,1.068,1.03,,
87,1609772400000,1.0603,1.067,,
88,1609776000000,1.0415,1.0588,,0.00027513
89,1609779600000,1.027,1.0352,,
90,1609783200000,1.0379,1.0246,,
91,1609786800000,1.0567,1.0355,,
92,1609790400000,1.0325,1.055,,
93,1609794000000,1.0177,1.03,,
94,1609797600000,1.0271,1.0139,,
95,1609801200000,1.035,1.0261,,
96,1609804800000,1.0558,1.0317,0.0005,0.00030911
97,1609808400000,1.066,1.0542,,
98,1609812000000,1.0611,1.0625,,
99,1609815600000,1.02,1.0561,,
100,1609819200000,1.0203,1.0188,,
101,1609822800000,1.0065,1.0201,,
102,1609826400000,1.0391,1.004,,
103,1609830000000,1.0146,1.0358,,
104,1609833600000,1.0267,1.0106,,0.00013855
105,1609837200000,1.0476,1.0232,,
106,1609840800000,1.0875,1.0446,,
107,1609844400000,1.1241,1.0828,,
108,1609848000000,1.0923,1.1194,,
109,1609851600000,1.1469,1.0889,,
110,1609855200000,1.145,1.1483,,
111,1609858800000,1.1798,1.1435,,
112,1609862400000,1.1883,1.1782,,0.00073427
113,1609866000000,1.2375,1.1839,,
114,1609869600000,1.2168,1.23,,
115,1609873200000,1.2026,1.2101,,
116,1609876800000,1.2165,1.2,,
117,1609880400000,1.2297,1.2143,,
118,1609884000000,1.2798,1.2261,,
119,1609887600000,1.2552,1.276,,
120,1609891200000,1.2206,1.2502,0.0005,0.00103662
121,1609894800000,1.2026,1.2186,,
122,1609898400000,1.2344,1.2001,,
123,1609902000000,1.2184,1.2329,,
124,1609905600000,1.2218,1.2184,,
125,1609909200000,1.2194,1.2203,,
126,1609912800000,1.2536,1.2179,,
127,1609916400000,1.2356,1.2512,,
128,1609920000000,1.3456,1.2328,,0.00018237
129,1609923600000,1.3143,1.3415,,
130,1609927200000,1.344,1.3097,,
131,1609930800000,1.3167,1.338,,
132,1609934400000,1.2999,1.3107,,
133,1609938000000,1.3334,1.2947,,
134,1609941600000,1.3597,1.3273,,
135,1609945200000,1.4362,1.3534,,
136,1609948800000,1.47,1.4277,,0.0021984
137,1609952400000,1.492,1.4627,,
138,1609956000000,1.4703,1.486,,
139,1609959600000,1.3782,1.4653,,
140,1609963200000,1.4045,1.3797,,
141,1609966800000,1.3934,1.3989,,
142,1609970400000,1.4479,1.3916,,
143,1609974000000,1.5215,1.4409,,
144,1609977600000,1.4433,1.5109,0.0005,0.00154184
145,1609981200000,1.4441,1.4347,,
146,1609984800000,1.4394,1.4394,,
147,1609988400000,1.4526,1.4317,,
148,1609992000000,1.4587,1.4464,,
149,1609995600000,1.4829,1.4545,,
150,1609999200000,1.4871,1.4776,,
151,1610002800000,1.4364,1.4824,,
152,1610006400000,1.4569,1.4353,,0.00166651
153,1610010000000,1.4668,1.452,,
154,1610013600000,1.4288,1.4611,,
155,1610017200000,1.4684,1.4255,,
156,1610020800000,1.5658,1.4621,,
157,1610024400000,1.5559,1.5548,,
158,1610028000000,1.5677,1.5416,,
159,1610031600000,1.5727,1.5611,,
160,1610035200000,1.5147,1.5669,,0.00242698
161,1610038800000,1.5369,1.5099,,
162,1610042400000,1.3859,1.5331,,
163,1610046000000,1.4368,1.387,,
164,1610049600000,1.4431,1.4357,,
165,1610053200000,1.4198,1.4407,,
166,1610056800000,1.4068,1.4182,,
167,1610060400000,1.2986,1.4036,,
168,1610064000000,1.2661,1.294,0.0005,0.0001
169,1610067600000,1.2829,1.2639,,
170,1610071200000,1.1381,1.2795,,
171,1610074800000,1.2039,1.1469,,
172,1610078400000,1.2267,1.2071,,
173,1610082000000,1.1918,1.23,,
174,1610085600000,1.2365,1.2,,
175,1610089200000,1.2877,1.2368,,
176,1610092800000,1.2599,1.2866,,-0.00025747
177,1610096400000,1.2937,1.2634,,
178,1610100000000,1.3275,1.2979,,
179,1610103600000,1.3012,1.3299,,
180,1610107200000,1.3178,1.3044,,
181,1610110800000,1.3035,1.3161,,
182,1610114400000,1.337,1.3031,,
183,1610118000000,1.2771,1.3356,,
184,1610121600000,1.2754,1.2832,,0.0001
185,1610125200000,1.2792,1.2789,,
186,1610128800000,1.1946,1.2844,,
187,1610132400000,1.1973,1.2055,,
188,1610136000000,1.1508,1.2002,,
189,1610139600000,1.1861,1.1555,,
190,1610143200000,1.2129,1.1903,,
191,1610146800000,1.1874,1.2154,,
192,1610150400000,1.1462,1.1864,0.0005,-0.0005691
193,1610154000000,1.1494,1.1421,,
194,1610157600000,1.168,1.1453,,
195,1610161200000,1.201,1.1656,,
196,1610164800000,1.198,1.1943,,
197,1610168400000,1.1618,1.1892,,
198,1610172000000,1.151,1.1569,,
199,1610175600000,1.1809,1.1477,,
200,1610179200000,1.2139,1.1785,,0.00131537
201,1610182800000,1.2346,1.2072,,
202,1610186400000,1.2633,1.2285,,
203,1610190000000,1.2514,1.2575,,
204,1610193600000,1.2653,1.2453,,
205,1610197200000,1.258,1.2601,,
206,1610200800000,1.2563,1.2515,,
207,1610204400000,1.2272,1.2501,,
208,1610208000000,1.1873,1.2216,,0.00251665
209,1610211600000,1.2067,1.1826,,
210,1610215200000,1.2301,1.2023,,
