,Timestamp,UC,SPOT,dailyInterestRate,Funding Rate
0,1609459200000,24.991,24.673,0.0005,0.00066425
1,1609462800000,24.879,24.926,,
2,1609466400000,24.949,24.81,,
3,1609470000000,24.859,24.856,,
4,1609473600000,24.901,24.795,,
5,1609477200000,25.252,24.856,,
6,1609480800000,25.162,25.166,,
7,1609484400000,25.596,25.095,,
8,1609488000000,25.568,25.579,,0.00117131
9,1609491600000,25.862,25.513,,
10,1609495200000,26.159,25.829,,
11,1609498800000,26.464,26.097,,
12,1609502400000,26.181,26.454,,
13,1609506000000,26.325,26.108,,
14,1609509600000,26.96,26.224,,
15,1609513200000,26.811,26.936,,
16,1609516800000,27.095,26.778,,0.00074311
17,1609520400000,26.743,27.043,,
18,1609524000000,26.418,26.722,,
19,1609527600000,26.156,26.342,,
20,1609531200000,26.353,26.127,,
21,1609534800000,26.211,26.315,,
22,1609538400000,25.982,26.125,,
23,1609542000000,26.105,25.937,,
24,1609545600000,25.252,26.007,0.0005,0.00036559
25,1609549200000,25.635,25.16,,
26,1609552800000,25.75,25.565,,
27,1609556400000,25.696,25.645,,
28,1609560000000,25.672,25.652,,
29,1609563600000,25.978,25.573,,
30,1609567200000,25.867,25.933,,
31,1609570800000,25.87,25.788,,
32,1609574400000,25.289,25.849,,0.00086059
33,1609578000000,25.655,25.205,,
34,1609581600000,25.672,25.576,,
35,1609585200000,25.468,25.639,,
36,1609588800000,25.991,25.418,,
37,1609592400000,26.383,25.899,,
38,1609596000000,26.558,26.34,,
39,1609599600000,26.338,26.48,,
40,1609603200000,26.708,26.251,,0.00124151
41,1609606800000,26.75,26.605,,
42,1609610400000,26.744,26.626,,
43,1609614000000,25.941,26.628,,
44,1609617600000,25.415,25.85,,
45,1609621200000,25.894,25.289,,
46,1609624800000,26.123,25.855,,
47,1609628400000,25.945,26.042,,
48,1609632000000,26.151,25.872,0.0005,0.00120766
49,1609635600000,26.282,26.043,,
50,1609639200000,26.387,26.184,,
51,1609642800000,26.555,26.314,,
52,1609646400000,26.278,26.478,,
53,1609650000000,26.001,26.182,,
54,1609653600000,25.946,25.897,,
55,1609657200000,25.572,25.894,,
56,1609660800000,26.049,25.491,,0.00118949
57,1609664400000,25.821,25.95,,
58,1609668000000,25.685,25.734,,
59,1609671600000,25.942,25.6,,
60,1609675200000,25.77,25.855,,
61,1609678800000,26.207,25.638,,
62,1609682400000,26.809,26.062,,
63,1609686000000,26.618,26.621,,
64,1609689600000,27.465,26.523,,0.00319043
65,1609693200000,27.42,27.346,,
66,1609696800000,26.81,27.209,,
67,1609700400000,26.886,26.702,,
68,1609704000000,26.948,26.794,,
69,1609707600000,27.078,26.916,,
70,1609711200000,27.084,27.03,,
71,1609714800000,27.395,26.985,,
72,1609718400000,27.677,27.323,0.0005,0.00186937
73,1609722000000,27.529,27.548,,
74,1609725600000,28.189,27.437,,
75,1609729200000,28.742,28.091,,
76,1609732800000,28.943,28.664,,
77,1609736400000,28.953,28.818,,
78,1609740000000,29.402,28.774,,
79,1609743600000,28.368,29.17,,
80,1609747200000,27.864,28.288,,0.00388695
81,1609750800000,27.71,27.729,,
82,1609754400000,27.278,27.627,,
83,1609758000000,27.811,27.182,,
84,1609761600000,28.22,27.76,,
85,1609765200000,27.451,28.194,,
86,1609768800000,28.619,27.36,,
87,1609772400000,28.828,28.517,,
88,1609776000000,28.666,28.77,,0.00175418
89,1609779600000,28.685,28.632,,
