,Timestamp,UC,SPOT,dailyInterestRate,Funding Rate
0,1609459200000,0.17101,0.16945,0.0004,0.0001
1,1609462800000,0.17527,0.1709,,
2,1609466400000,0.17651,0.17489,,
3,1609470000000,0.17656,0.1764,,
4,1609473600000,0.17284,0.17627,,
5,1609477200000,0.17308,0.17262,,
6,1609480800000,0.17477,0.17285,,
7,1609484400000,0.17335,0.17445,,
8,1609488000000,0.17284,0.17299,,0.0001866
9,1609491600000,0.17633,0.1725,,
10,1609495200000,0.17895,0.17611,,
11,1609498800000,0.18007,0.17845,,
12,1609502400000,0.17745,0.17986,,
13,1609506000000,0.17908,0.17743,,
14,1609509600000,0.17882,0.17843,,
15,1609513200000,0.17813,0.17822,,
16,1609516800000,0.1811,0.17796,,0.0001
17,1609520400000,0.1766,0.18073,,
18,1609524000000,0.1746,0.17609,,
19,1609527600000,0.1745,0.174,,
20,1609531200000,0.1751,0.17397,,
21,1609534800000,0.17481,0.175,,
22,1609538400000,0.17488,0.17386,,
23,1609542000000,0.17545,0.17426,,
24,1609545600000,0.17189,0.17507,0.0004,0.0001
25,1609549200000,0.17356,0.17118,,
26,1609552800000,0.17372,0.17298,,
27,1609556400000,0.17479,0.1733,,
28,1609560000000,0.17617,0.17429,,
29,1609563600000,0.17589,0.17589,,
30,1609567200000,0.17436,0.17524,,
31,1609570800000,0.17318,0.17401,,
32,1609574400000,0.17244,0.17284,,0.00011269
33,1609578000000,0.17035,0.17221,,
34,1609581600000,0.17138,0.17032,,
35,1609585200000,0.17228,0.17105,,
36,1609588800000,0.17665,0.17216,,
37,1609592400000,0.17786,0.17662,,
38,1609596000000,0.17576,0.17773,,
39,1609599600000,0.17598,0.17498,,
40,1609603200000,0.17774,0.1754,,0.00027833
41,1609606800000,0.17701,0.17691,,
42,1609610400000,0.17836,0.17633,,
43,1609614000000,0.17872,0.17727,,
44,1609617600000,0.17434,0.17814,,
45,1609621200000,0.17467,0.17345,,
46,1609624800000,0.17582,0.17404,,
47,1609628400000,0.17586,0.17515,,
48,1609632000000,0.1763,0.1757,0.0004,0.00027655
49,1609635600000,0.17716,0.17595,,
50,1609639200000,0.17856,0.17684,,
51,1609642800000,0.18041,0.17788,,
52,1609646400000,0.18029,0.18028,,
53,1609650000000,0.18102,0.17989,,
54,1609653600000,0.18496,0.18062,,
55,1609657200000,0.18582,0.18454,,
56,1609660800000,0.19135,0.18579,,0.0001
57,1609664400000,0.19231,0.19146,,
58,1609668000000,0.19241,0.19201,,
59,1609671600000,0.19211,0.19203,,
60,1609675200000,0.19241,0.19174,,
61,1609678800000,0.19631,0.19246,,
62,1609682400000,0.20232,0.19598,,
63,1609686000000,0.20247,0.20171,,
64,1609689600000,0.2135,0.20217,,0.00068651
65,1609693200000,0.22046,0.21402,,
66,1609696800000,0.21399,0.2222,,
67,1609700400000,0.22445,0.21373,,
68,1609704000000,0.23165,0.22648,,
69,1609707600000,0.23822,0.23265,,
70,1609711200000,0.23991,0.24041,,
71,1609714800000,0.27331,0.24164,,
72,1609718400000,0.25723,0.27499,0.0004,-0.00328958
73,1609722000000,0.2517,0.25478,,
74,1609725600000,0.25939,0.24976,,
75,1609729200000,0.27049,0.26017,,
76,1609732800000,0.31289,0.27037,,
77,1609736400000,0.30734,0.32012,,
78,1609740000000,0.31506,0.30848,,
79,1609743600000,0.29868,0.31559,,
80,1609747200000,0.30033,0.29955,,-0.00076166
81,1609750800000,0.28377,0.30126,,
82,1609754400000,0.28659,0.2841,,
83,1609758000000,0.29451,0.28655,,
84,1609761600000,0.29268,0.29481,,
85,1609765200000,0.32681,0.29278,,
86,1609768800000,0.31475,0.32787,,
87,1609772400000,0.31878,0.31484,,
88,1609776000000,0.29845,0.31915,,-0.00012168
89,1609779600000,0.31114,0.29739,,
90,1609783200000,0.31853,0.31074,,
91,1609786800000,0.33349,0.31978,,
92,1609790400000,0.32548,0.33443,,
93,1609794000000,0.3399,0.32694,,
94,1609797600000,0.3652,0.34078,,
95,1609801200000,0.36258,0.36642,,
96,1609804800000,0.3806,0.36313,0.0004,-0.00106011
97,1609808400000,0.42625,0.38226,,
98,1609812000000,0.45486,0.42905,,
99,1609815600000,0.46858,0.45878,,
100,1609819200000,0.42008,0.47301,,
101,1609822800000,0.39505,0.42081,,
102,1609826400000,0.43023,0.39588,,
103,1609830000000,0.40841,0.43118,,
104,1609833600000,0.42369,0.40888,,-0.00122369
105,1609837200000,0.44824,0.42424,,
106,1609840800000,0.4731,0.44936,,
107,1609844400000,0.45169,0.47608,,
108,1609848000000,0.45462,0.45269,,
109,1609851600000,0.4781,0.45722,,
110,1609855200000,0.48632,0.47803,,
111,1609858800000,0.52125,0.48752,,
112,1609862400000,0.559,0.525,,-0.00149218
113,1609866000000,0.53729,0.56369,,
114,1609869600000,0.56174,0.5394,,
115,1609873200000,0.55002,0.56396,,
116,1609876800000,0.58826,0.55232,,
117,1609880400000,0.58636,0.589,,
118,1609884000000,0.55066,0.5873,,
119,1609887600000,0.49274,0.5502,,
120,1609891200000,0.48886,0.49078,0.0004,-0.00083347
121,1609894800000,0.48586,0.4873,,
122,1609898400000,0.51336,0.48433,,
123,1609902000000,0.49416,0.51338,,
124,1609905600000,0.49826,0.49223,,
125,1609909200000,0.47618,0.49787,,
126,1609912800000,0.44828,0.476,,
127,1609916400000,0.46441,0.44591,,
128,1609920000000,0.45414,0.46083,,0.00100217
129,1609923600000,0.4273,0.45176,,
130,1609927200000,0.42507,0.42493,,
131,1609930800000,0.4364,0.422,,
132,1609934400000,0.423,0.43387,,
133,1609938000000,0.41358,0.42146,,
134,1609941600000,0.42439,0.41115,,
135,1609945200000,0.43068,0.42264,,
136,1609948800000,0.47063,0.42954,,0.00353188
137,1609952400000,0.45843,0.469,,
138,1609956000000,0.43385,0.45612,,
139,1609959600000,0.4159,0.43124,,
140,1609963200000,0.42445,0.41479,,
141,1609966800000,0.43502,0.42274,,
142,1609970400000,0.41114,0.43411,,
143,1609974000000,0.41134,0.4102,,
144,1609977600000,0.41353,0.40976,0.0004,0.00169176
145,1609981200000,0.42446,0.41065,,
146,1609984800000,0.42121,0.42218,,
147,1609988400000,0.43972,0.41894,,
148,1609992000000,0.41841,0.43682,,
149,1609995600000,0.42872,0.41639,,
150,1609999200000,0.42206,0.42571,,
151,1610002800000,0.41983,0.41877,,
152,1610006400000,0.42686,0.41901,,0.00472079
153,1610010000000,0.44462,0.4245,,
154,1610013600000,0.42188,0.44189,,
155,1610017200000,0.42297,0.41877,,
156,1610020800000,0.4399,0.42031,,
157,1610024400000,0.43047,0.4362,,
158,1610028000000,0.4292,0.42733,,
159,1610031600000,0.4312,0.42676,,
160,1610035200000,0.41619,0.43056,,0.00445335
161,1610038800000,0.40369,0.41385,,
162,1610042400000,0.37998,0.40141,,
163,1610046000000,0.378,0.37833,,
164,1610049600000,0.37933,0.37712,,
165,1610053200000,0.37761,0.37704,,
166,1610056800000,0.37315,0.37663,,
167,1610060400000,0.3706,0.37196,,
168,1610064000000,0.36094,0.37032,0.0004,0.00159753
169,1610067600000,0.35136,0.35979,,
170,1610071200000,0.32781,0.35017,,
171,1610074800000,0.34185,0.32677,,
172,1610078400000,0.34595,0.34101,,
173,1610082000000,0.33331,0.34565,,
174,1610085600000,0.35028,0.33214,,
175,1610089200000,0.36534,0.34887,,
176,1610092800000,0.36058,0.36449,,0.00063864
177,1610096400000,0.37116,0.35954,,
178,1610100000000,0.3887,0.37,,
179,1610103600000,0.37505,0.38799,,
180,1610107200000,0.37975,0.3742,,
181,1610110800000,0.37046,0.37834,,
182,1610114400000,0.3735,0.36953,,
183,1610118000000,0.36657,0.3725,,
184,1610121600000,0.36352,0.36509,,0.00107021
185,1610125200000,0.35939,0.36187,,
186,1610128800000,0.34939,0.3584,,
187,1610132400000,0.34154,0.34823,,
188,1610136000000,0.33138,0.3414,,
189,1610139600000,0.34692,0.32981,,
190,1610143200000,0.35469,0.34652,,
191,1610146800000,0.35072,0.35317,,
192,1610150400000,0.36034,0.34946,0.0004,0.00083856
