,Timestamp,UC,SPOT,dailyInterestRate,Funding Rate
0,1.60946E+12,2.5172,2.4742,,0.0001
1,1.60946E+12,2.5524,2.5177,,
2,1.60947E+12,2.5419,2.5508,,
3,1.60947E+12,2.5339,2.54,,
4,1.60947E+12,2.5511,2.5328,,
5,1.60948E+12,2.5826,2.5502,,
6,1.60948E+12,2.5605,2.5821,,
7,1.60948E+12,2.5471,2.5611,,
8,1.60949E+12,2.5285,2.5481,,0.0001
9,1.60949E+12,2.5438,2.5238,,
10,1.6095E+12,2.5982,2.5408,,
11,1.6095E+12,2.6708,2.597,,
12,1.6095E+12,2.6796,2.6677,,
13,1.60951E+12,2.7532,2.6792,,
14,1.60951E+12,2.6783,2.7511,,
15,1.60951E+12,2.6677,2.6737,,
16,1.60952E+12,2.6554,2.6662,,0.0001
17,1.60952E+12,2.5831,2.6569,,
18,1.60952E+12,2.5651,2.5814,,
19,1.60953E+12,2.5435,2.5646,,
20,1.60953E+12,2.5799,2.5453,,
21,1.60953E+12,2.5682,2.5772,,
22,1.60954E+12,2.5516,2.5673,,
23,1.60954E+12,2.5443,2.5506,,
24,1.60955E+12,2.501,2.5432,0.0005,0.0001
25,1.60955E+12,2.5268,2.5004,,
26,1.60955E+12,2.5306,2.5261,,
27,1.60956E+12,2.5609,2.5295,,
28,1.60956E+12,2.5743,2.5604,,
29,1.60956E+12,2.6111,2.5729,,
30,1.60957E+12,2.6969,2.6087,,
31,1.60957E+12,2.6115,2.6952,,
32,1.60957E+12,2.5664,2.6087,,0.0001
33,1.60958E+12,2.5717,2.5672,,
34,1.60958E+12,2.5944,2.5694,,
35,1.60959E+12,2.5978,2.5964,,
36,1.60959E+12,2.6068,2.5965,,
37,1.60959E+12,2.5978,2.6047,,
38,1.6096E+12,2.5694,2.5978,,
39,1.6096E+12,2.5682,2.5661,,
40,1.6096E+12,2.6227,2.5657,,0.0001
41,1.60961E+12,2.5837,2.6192,,
42,1.60961E+12,2.5546,2.5818,,
43,1.60961E+12,2.5672,2.5507,,
44,1.60962E+12,2.5072,2.5641,,
45,1.60962E+12,2.5318,2.5031,,
46,1.60962E+12,2.5207,2.5278,,
47,1.60963E+12,2.5412,2.5198,,
48,1.60963E+12,2.5516,2.5408,0.0005,0.0001
49,1.60964E+12,2.5561,2.5499,,
50,1.60964E+12,2.5467,2.5539,,
51,1.60964E+12,2.5449,2.5408,,
52,1.60965E+12,2.5312,2.5437,,
53,1.60965E+12,2.4992,2.53,,
