,Timestamp,UC,SPOT,dailyInterestRate,Funding Rate
0,1609459200000,0.2217,0.21953,0.0005,0.0001
1,1609462800000,0.2241,0.2216,,
2,1609466400000,0.2239,0.22382,,
3,1609470000000,0.2274,0.2237,,
4,1609473600000,0.2393,0.2273,,
5,1609477200000,0.2387,0.23891,,
6,1609480800000,0.2348,0.23819,,
7,1609484400000,0.2299,0.23421,,
8,1609488000000,0.2288,0.22971,,0.00016416
9,1609491600000,0.2326,0.22878,,
10,1609495200000,0.2371,0.23263,,
11,1609498800000,0.2373,0.23698,,
12,1609502400000,0.2328,0.23736,,
13,1609506000000,0.2343,0.23318,,
14,1609509600000,0.237,0.23428,,
15,1609513200000,0.2429,0.23674,,
16,1609516800000,0.2466,0.24289,,0.0001
17,1609520400000,0.2369,0.24662,,
18,1609524000000,0.2348,0.2368,,
19,1609527600000,0.2338,0.2347,,
20,1609531200000,0.2371,0.23382,,
21,1609534800000,0.2379,0.23706,,
22,1609538400000,0.2379,0.2377,,
23,1609542000000,0.2377,0.23783,,
24,1609545600000,0.2326,0.2374,0.0005,0.0001
25,1609549200000,0.2367,0.23231,,
26,1609552800000,0.2339,0.23658,,
27,1609556400000,0.2347,0.23374,,
28,1609560000000,0.235,0.23461,,
29,1609563600000,0.2358,0.2348,,
30,1609567200000,0.2339,0.23556,,
31,1609570800000,0.2338,0.23383,,
32,1609574400000,0.2278,0.23347,,0.0001
33,1609578000000,0.2227,0.22789,,
34,1609581600000,0.2258,0.22273,,
35,1609585200000,0.2276,0.22574,,
36,1609588800000,0.232,0.2276,,
37,1609592400000,0.231,0.23196,,
38,1609596000000,0.2285,0.23062,,
39,1609599600000,0.2292,0.22817,,
40,1609603200000,0.2221,0.22881,,0.0001
41,1609606800000,0.2236,0.22202,,
42,1609610400000,0.2236,0.22321,,
43,1609614000000,0.2211,0.22316,,
44,1609617600000,0.2179,0.22084,,
45,1609621200000,0.2251,0.21775,,
46,1609624800000,0.2216,0.22416,,
47,1609628400000,0.221,0.22099,,
48,1609632000000,0.2186,0.22064,0.0005,0.00087042
49,1609635600000,0.2197,0.21804,,
50,1609639200000,0.2223,0.21935,,
51,1609642800000,0.2217,0.22211,,
52,1609646400000,0.2234,0.22136,,
53,1609650000000,0.2213,0.22293,,
54,1609653600000,0.2205,0.221,,
55,1609657200000,0.2182,0.22001,,
56,1609660800000,0.2187,0.21785,,0.00103067
57,1609664400000,0.2196,0.2181,,
58,1609668000000,0.2191,0.21912,,
59,1609671600000,0.2218,0.21849,,
60,1609675200000,0.2238,0.22105,,
61,1609678800000,0.2219,0.22329,,
62,1609682400000,0.2206,0.22112,,
63,1609686000000,0.2215,0.21975,,
64,1609689600000,0.2288,0.221,,0.00188644
65,1609693200000,0.232,0.22808,,
66,1609696800000,0.226,0.23117,,
67,1609700400000,0.2257,0.2253,,
68,1609704000000,0.2259,0.22508,,
69,1609707600000,0.2288,0.22501,,
70,1609711200000,0.2263,0.22802,,
71,1609714800000,0.2265,0.2249,,
72,1609718400000,0.2285,0.2254,0.0005,0.00322948
73,1609722000000,0.2329,0.22718,,
74,1609725600000,0.2318,0.23206,,
75,1609729200000,0.2335,0.23126,,
76,1609732800000,0.2404,0.23259,,
77,1609736400000,0.2346,0.23939,,
78,1609740000000,0.2581,0.23365,,
79,1609743600000,0.2403,0.25653,,
80,1609747200000,0.2355,0.24001,,0.00321973
81,1609750800000,0.2312,0.23503,,
82,1609754400000,0.2283,0.23092,,
83,1609758000000,0.232,0.2279,,
84,1609761600000,0.2287,0.23157,,
85,1609765200000,0.2297,0.2283,,
86,1609768800000,0.2301,0.22939,,
87,1609772400000,0.2341,0.22984,,
88,1609776000000,0.2324,0.23387,,0.00056528
89,1609779600000,0.2307,0.23209,,
90,1609783200000,0.2316,0.23046,,
91,1609786800000,0.232,0.23128,,
92,1609790400000,0.2302,0.23149,,
93,1609794000000,0.2304,0.22991,,
94,1609797600000,0.2355,0.23021,,
95,1609801200000,0.2361,0.23516,,
96,1609804800000,0.237,0.23568,0.0005,0.00077706
97,1609808400000,0.2364,0.23654,,
98,1609812000000,0.2335,0.236,,
99,1609815600000,0.2282,0.23317,,
100,1609819200000,0.2281,0.22775,,
101,1609822800000,0.2284,0.22782,,
102,1609826400000,0.2307,0.22799,,
103,1609830000000,0.23,0.23046,,
104,1609833600000,0.2321,0.22977,,0.00028829
105,1609837200000,0.2339,0.23185,,
106,1609840800000,0.2349,0.23339,,
107,1609844400000,0.2387,0.23439,,
108,1609848000000,0.2359,0.23812,,
109,1609851600000,0.2315,0.23533,,
110,1609855200000,0.2302,0.23135,,
111,1609858800000,0.2274,0.23015,,
112,1609862400000,0.2265,0.2271,,0.0001
113,1609866000000,0.2289,0.22614,,
114,1609869600000,0.2253,0.22859,,
115,1609873200000,0.2256,0.22517,,
116,1609876800000,0.2255,0.22502,,
117,1609880400000,0.2234,0.22506,,
118,1609884000000,0.2269,0.22315,,
119,1609887600000,0.2258,0.22649,,
120,1609891200000,0.2294,0.22577,0.0005,0.00067707
121,1609894800000,0.2259,0.22901,,
122,1609898400000,0.2256,0.22565,,
123,1609902000000,0.2251,0.22549,,
124,1609905600000,0.2283,0.22486,,
125,1609909200000,0.2258,0.22739,,
126,1609912800000,0.227,0.22524,,
127,1609916400000,0.2275,0.22649,,
128,1609920000000,0.2269,0.22704,,0.00121851
129,1609923600000,0.2264,0.22648,,
130,1609927200000,0.2282,0.22583,,
131,1609930800000,0.2285,0.22764,,
132,1609934400000,0.2348,0.22752,,
133,1609938000000,0.2324,0.23379,,
134,1609941600000,0.2501,0.23159,,
135,1609945200000,0.2471,0.24917,,
136,1609948800000,0.2415,0.24658,,0.00240729
137,1609952400000,0.2468,0.24073,,
138,1609956000000,0.2492,0.2458,,
139,1609959600000,0.2481,0.24871,,
140,1609963200000,0.2468,0.2476,,
141,1609966800000,0.2477,0.24655,,
142,1609970400000,0.2509,0.24742,,
143,1609974000000,0.2489,0.25044,,
144,1609977600000,0.2513,0.24856,0.0005,0.00099758
