,Unnamed: 0,Timestamp,UC,SPOT,dailyInterestRate,Funding Rate,taipei_time,Hour Funding Rate,Hour Interest Rate,Perp_Spot_diff,Hour Interest Rate APY,Hour Funding Rate APY,diff_hour_int_funding_rate,diff_hour_int_funding_rate_APY
0,0,1.60946E+12,0.2217,0.21953,0.0005,0.0001,1/1/21 8:00,1.25E-05,2.08E-05,0.00217,0.1825,0.1095,3.33E-05,0.292
1,1,1.60946E+12,0.2241,0.2216,,,1/1/21 9:00,1.25E-05,2.08E-05,0.0025,0.1825,0.1095,3.33E-05,0.292
2,2,1.60947E+12,0.2239,0.22382,,,1/1/21 10:00,1.25E-05,2.08E-05,8.00E-05,0.1825,0.1095,3.33E-05,0.292
3,3,1.60947E+12,0.2274,0.2237,,,1/1/21 11:00,1.25E-05,2.08E-05,0.0037,0.1825,0.1095,3.33E-05,0.292
4,4,1.60947E+12,0.2393,0.2273,,,1/1/21 12:00,1.25E-05,2.08E-05,0.012,0.1825,0.1095,3.33E-05,0.292
5,5,1.60948E+12,0.2387,0.23891,,,1/1/21 13:00,1.25E-05,2.08E-05,-0.00021,0.1825,0.1095,3.33E-05,0.292
6,6,1.60948E+12,0.2348,0.23819,,,1/1/21 14:00,1.25E-05,2.08E-05,-0.00339,0.1825,0.1095,3.33E-05,0.292
7,7,1.60948E+12,0.2299,0.23421,,,1/1/21 15:00,1.25E-05,2.08E-05,-0.00431,0.1825,0.1095,3.33E-05,0.292
8,8,1.60949E+12,0.2288,0.22971,,0.00016416,1/1/21 16:00,2.05E-05,2.08E-05,-0.00091,0.1825,0.1797552,4.14E-05,0.3622552
9,9,1.60949E+12,0.2326,0.22878,,,1/1/21 17:00,2.05E-05,2.08E-05,0.00382,0.1825,0.1797552,4.14E-05,0.3622552
10,10,1.6095E+12,0.2371,0.23263,,,1/1/21 18:00,2.05E-05,2.08E-05,0.00447,0.1825,0.1797552,4.14E-05,0.3622552
11,11,1.6095E+12,0.2373,0.23698,,,1/1/21 19:00,2.05E-05,2.08E-05,0.00032,0.1825,0.1797552,4.14E-05,0.3622552
12,12,1.6095E+12,0.2328,0.23736,,,1/1/21 20:00,2.05E-05,2.08E-05,-0.00456,0.1825,0.1797552,4.14E-05,0.3622552
13,13,1.60951E+12,0.2343,0.23318,,,1/1/21 21:00,2.05E-05,2.08E-05,0.00112,0.1825,0.1797552,4.14E-05,0.3622552
14,14,1.60951E+12,0.237,0.23428,,,1/1/21 22:00,2.05E-05,2.08E-05,0.00272,0.1825,0.1797552,4.14E-05,0.3622552
15,15,1.60951E+12,0.2429,0.23674,,,1/1/21 23:00,2.05E-05,2.08E-05,0.00616,0.1825,0.1797552,4.14E-05,0.3622552
16,16,1.60952E+12,0.2466,0.24289,,0.0001,1/2/21 0:00,1.25E-05,2.08E-05,0.00371,0.1825,0.1095,3.33E-05,0.292
17,17,1.60952E+12,0.2369,0.24662,,,1/2/21 1:00,1.25E-05,2.08E-05,-0.00972,0.1825,0.1095,3.33E-05,0.292
18,18,1.60952E+12,0.2348,0.2368,,,1/2/21 2:00,1.25E-05,2.08E-05,-0.002,0.1825,0.1095,3.33E-05,0.292
19,19,1.60953E+12,0.2338,0.2347,,,1/2/21 3:00,1.25E-05,2.08E-05,-0.0009,0.1825,0.1095,3.33E-05,0.292
20,20,1.60953E+12,0.2371,0.23382,,,1/2/21 4:00,1.25E-05,2.08E-05,0.00328,0.1825,0.1095,3.33E-05,0.292
21,21,1.60953E+12,0.2379,0.23706,,,1/2/21 5:00,1.25E-05,2.08E-05,0.00084,0.1825,0.1095,3.33E-05,0.292
22,22,1.60954E+12,0.2379,0.2377,,,1/2/21 6:00,1.25E-05,2.08E-05,0.0002,0.1825,0.1095,3.33E-05,0.292
23,23,1.60954E+12,0.2377,0.23783,,,1/2/21 7:00,1.25E-05,2.08E-05,-0.00013,0.1825,0.1095,3.33E-05,0.292
24,24,1.60955E+12,0.2326,0.2374,0.0005,0.0001,1/2/21 8:00,1.25E-05,2.08E-05,-0.0048,0.1825,0.1095,3.33E-05,0.292
25,25,1.60955E+12,0.2367,0.23231,,,1/2/21 9:00,1.25E-05,2.08E-05,0.00439,0.1825,0.1095,3.33E-05,0.292
26,26,1.60955E+12,0.2339,0.23658,,,1/2/21 10:00,1.25E-05,2.08E-05,-0.00268,0.1825,0.1095,3.33E-05,0.292
27,27,1.60956E+12,0.2347,0.23374,,,1/2/21 11:00,1.25E-05,2.08E-05,0.00096,0.1825,0.1095,3.33E-05,0.292
28,28,1.60956E+12,0.235,0.23461,,,1/2/21 12:00,1.25E-05,2.08E-05,0.00039,0.1825,0.1095,3.33E-05,0.292
29,29,1.60956E+12,0.2358,0.2348,,,1/2/21 13:00,1.25E-05,2.08E-05,0.001,0.1825,0.1095,3.33E-05,0.292
30,30,1.60957E+12,0.2339,0.23556,,,1/2/21 14:00,1.25E-05,2.08E-05,-0.00166,0.1825,0.1095,3.33E-05,0.292
31,31,1.60957E+12,0.2338,0.23383,,,1/2/21 15:00,1.25E-05,2.08E-05,-3.00E-05,0.1825,0.1095,3.33E-05,0.292
32,32,1.60957E+12,0.2278,0.23347,,0.0001,1/2/21 16:00,1.25E-05,2.08E-05,-0.00567,0.1825,0.1095,3.33E-05,0.292
33,33,1.60958E+12,0.2227,0.22789,,,1/2/21 17:00,1.25E-05,2.08E-05,-0.00519,0.1825,0.1095,3.33E-05,0.292
34,34,1.60958E+12,0.2258,0.22273,,,1/2/21 18:00,1.25E-05,2.08E-05,0.00307,0.1825,0.1095,3.33E-05,0.292
35,35,1.60959E+12,0.2276,0.22574,,,1/2/21 19:00,1.25E-05,2.08E-05,0.00186,0.1825,0.1095,3.33E-05,0.292
36,36,1.60959E+12,0.232,0.2276,,,1/2/21 20:00,1.25E-05,2.08E-05,0.0044,0.1825,0.1095,3.33E-05,0.292
37,37,1.60959E+12,0.231,0.23196,,,1/2/21 21:00,1.25E-05,2.08E-05,-0.00096,0.1825,0.1095,3.33E-05,0.292
38,38,1.6096E+12,0.2285,0.23062,,,1/2/21 22:00,1.25E-05,2.08E-05,-0.00212,0.1825,0.1095,3.33E-05,0.292
39,39,1.6096E+12,0.2292,0.22817,,,1/2/21 23:00,1.25E-05,2.08E-05,0.00103,0.1825,0.1095,3.33E-05,0.292
40,40,1.6096E+12,0.2221,0.22881,,0.0001,1/3/21 0:00,1.25E-05,2.08E-05,-0.00671,0.1825,0.1095,3.33E-05,0.292
41,41,1.60961E+12,0.2236,0.22202,,,1/3/21 1:00,1.25E-05,2.08E-05,0.00158,0.1825,0.1095,3.33E-05,0.292
42,42,1.60961E+12,0.2236,0.22321,,,1/3/21 2:00,1.25E-05,2.08E-05,0.00039,0.1825,0.1095,3.33E-05,0.292
43,43,1.60961E+12,0.2211,0.22316,,,1/3/21 3:00,1.25E-05,2.08E-05,-0.00206,0.1825,0.1095,3.33E-05,0.292
44,44,1.60962E+12,0.2179,0.22084,,,1/3/21 4:00,1.25E-05,2.08E-05,-0.00294,0.1825,0.1095,3.33E-05,0.292
45,45,1.60962E+12,0.2251,0.21775,,,1/3/21 5:00,1.25E-05,2.08E-05,0.00735,0.1825,0.1095,3.33E-05,0.292
46,46,1.60962E+12,0.2216,0.22416,,,1/3/21 6:00,1.25E-05,2.08E-05,-0.00256,0.1825,0.1095,3.33E-05,0.292
47,47,1.60963E+12,0.221,0.22099,,,1/3/21 7:00,1.25E-05,2.08E-05,1.00E-05,0.1825,0.1095,3.33E-05,0.292
48,48,1.60963E+12,0.2186,0.22064,0.0005,0.00087042,1/3/21 8:00,0.000108803,2.08E-05,-0.00204,0.1825,0.9531099,0.000129636,1.1356099
49,49,1.60964E+12,0.2197,0.21804,,,1/3/21 9:00,0.000108803,2.08E-05,0.00166,0.1825,0.9531099,0.000129636,1.1356099
50,50,1.60964E+12,0.2223,0.21935,,,1/3/21 10:00,0.000108803,2.08E-05,0.00295,0.1825,0.9531099,0.000129636,1.1356099
